date,nav,scheme_code,scheme_name
2026-01-06,192.3195,125497,HDFC Top 100 Direct
2026-12-05,190.6152,125497,HDFC Top 100 Direct
2026-11-05,195.586,125497,HDFC Top 100 Direct
2026-08-05,196.8821,125497,HDFC Top 100 Direct
2026-07-05,197.4753,125497,HDFC Top 100 Direct
2026-06-05,196.0036,125497,HDFC Top 100 Direct
2026-05-05,194.5618,125497,HDFC Top 100 Direct
2026-04-05,195.4469,125497,HDFC Top 100 Direct
2026-10-04,184.6967,125497,HDFC Top 100 Direct
2026-09-04,181.2455,125497,HDFC Top 100 Direct
2026-08-04,180.5783,125497,HDFC Top 100 Direct
2026-07-04,174.8342,125497,HDFC Top 100 Direct
2026-06-04,174.9151,125497,HDFC Top 100 Direct
2026-02-04,173.8471,125497,HDFC Top 100 Direct
2026-01-04,173.782,125497,HDFC Top 100 Direct
2026-12-03,177.9888,125497,HDFC Top 100 Direct
2026-11-03,178.3891,125497,HDFC Top 100 Direct
2026-10-03,178.8419,125497,HDFC Top 100 Direct
2026-09-03,175.7742,125497,HDFC Top 100 Direct
2026-06-03,178.9784,125497,HDFC Top 100 Direct
2026-05-03,179.3239,125497,HDFC Top 100 Direct
2026-04-03,177.9961,125497,HDFC Top 100 Direct
2026-02-03,181.3175,125497,HDFC Top 100 Direct
2026-12-02,189.6029,125497,HDFC Top 100 Direct
2026-11-02,189.7464,125497,HDFC Top 100 Direct
2026-10-02,189.019,125497,HDFC Top 100 Direct
2026-09-02,188.469,125497,HDFC Top 100 Direct
2026-06-02,184.627,125497,HDFC Top 100 Direct
2026-05-02,185.6949,125497,HDFC Top 100 Direct
2026-04-02,186.7774,125497,HDFC Top 100 Direct
2026-03-02,186.7009,125497,HDFC Top 100 Direct
2026-02-02,180.5424,125497,HDFC Top 100 Direct
2026-12-01,186.1837,125497,HDFC Top 100 Direct
2026-09-01,187.0971,125497,HDFC Top 100 Direct
2026-08-01,190.16,125497,HDFC Top 100 Direct
2026-07-01,193.3173,125497,HDFC Top 100 Direct
2026-06-01,193.7027,125497,HDFC Top 100 Direct
2026-05-01,194.3786,125497,HDFC Top 100 Direct
2026-02-01,194.574,125497,HDFC Top 100 Direct
2026-01-01,193.6417,125497,HDFC Top 100 Direct
2025-12-12,192.3377,125497,HDFC Top 100 Direct
2025-11-12,191.4952,125497,HDFC Top 100 Direct
2025-10-12,191.2557,125497,HDFC Top 100 Direct
2025-09-12,191.3573,125497,HDFC Top 100 Direct
2025-08-12,190.1591,125497,HDFC Top 100 Direct
2025-05-12,193.1451,125497,HDFC Top 100 Direct
2025-04-12,193.4599,125497,HDFC Top 100 Direct
2025-03-12,194.3355,125497,HDFC Top 100 Direct
2025-02-12,194.4312,125497,HDFC Top 100 Direct
2025-01-12,195.3626,125497,HDFC Top 100 Direct
2025-12-11,196.884,125497,HDFC Top 100 Direct
2025-11-11,196.4486,125497,HDFC Top 100 Direct
2025-10-11,196.2451,125497,HDFC Top 100 Direct
2025-07-11,197.315,125497,HDFC Top 100 Direct
2025-06-11,197.8032,125497,HDFC Top 100 Direct
2025-04-11,200.4678,125497,HDFC Top 100 Direct
2025-03-11,200.9709,125497,HDFC Top 100 Direct
2025-10-10,195.1185,125497,HDFC Top 100 Direct
2025-09-10,195.0376,125497,HDFC Top 100 Direct
2025-08-10,195.8587,125497,HDFC Top 100 Direct
2025-07-10,196.4294,125497,HDFC Top 100 Direct
2025-06-10,196.5483,125497,HDFC Top 100 Direct
2025-03-10,196.2965,125497,HDFC Top 100 Direct
2025-01-10,195.0856,125497,HDFC Top 100 Direct
2025-12-09,199.0716,125497,HDFC Top 100 Direct
2025-11-09,198.9835,125497,HDFC Top 100 Direct
2025-10-09,198.7075,125497,HDFC Top 100 Direct
2025-09-09,198.2444,125497,HDFC Top 100 Direct
2025-08-09,197.448,125497,HDFC Top 100 Direct
2025-05-09,197.5939,125497,HDFC Top 100 Direct
2025-04-09,197.6887,125497,HDFC Top 100 Direct
2025-03-09,197.6325,125497,HDFC Top 100 Direct
2025-02-09,196.2367,125497,HDFC Top 100 Direct
2025-01-09,195.7343,125497,HDFC Top 100 Direct
2025-12-08,192.705,125497,HDFC Top 100 Direct
2025-11-08,193.1584,125497,HDFC Top 100 Direct
2025-08-08,191.9575,125497,HDFC Top 100 Direct
2025-07-08,193.0064,125497,HDFC Top 100 Direct
2025-06-08,193.5756,125497,HDFC Top 100 Direct
2025-05-08,194.9731,125497,HDFC Top 100 Direct
2025-04-08,195.6536,125497,HDFC Top 100 Direct
2025-01-08,194.9548,125497,HDFC Top 100 Direct
2025-11-07,201.2606,125497,HDFC Top 100 Direct
2025-10-07,201.5985,125497,HDFC Top 100 Direct
2025-09-07,201.3287,125497,HDFC Top 100 Direct
2025-08-07,200.4396,125497,HDFC Top 100 Direct
2025-07-07,200.3235,125497,HDFC Top 100 Direct
2025-04-07,200.6762,125497,HDFC Top 100 Direct
2025-03-07,200.0186,125497,HDFC Top 100 Direct
2025-02-07,199.3409,125497,HDFC Top 100 Direct
2025-01-07,200.2672,125497,HDFC Top 100 Direct
2025-12-06,194.3159,125497,HDFC Top 100 Direct
2025-11-06,196.3155,125497,HDFC Top 100 Direct
2025-10-06,196.3203,125497,HDFC Top 100 Direct
2025-09-06,196.2268,125497,HDFC Top 100 Direct
2025-06-06,194.4367,125497,HDFC Top 100 Direct
2025-05-06,193.4622,125497,HDFC Top 100 Direct
2025-04-06,193.3241,125497,HDFC Top 100 Direct
2025-03-06,193.3558,125497,HDFC Top 100 Direct
2025-02-06,193.0141,125497,HDFC Top 100 Direct
2025-12-05,185.5194,125497,HDFC Top 100 Direct
2025-09-05,180.3079,125497,HDFC Top 100 Direct
2025-08-05,181.2148,125497,HDFC Top 100 Direct
2025-07-05,182.5147,125497,HDFC Top 100 Direct
2025-06-05,180.8742,125497,HDFC Top 100 Direct
2025-05-05,183.67,125497,HDFC Top 100 Direct
2025-02-05,181.6763,125497,HDFC Top 100 Direct
2025-11-04,177.359,125497,HDFC Top 100 Direct
2025-09-04,173.4024,125497,HDFC Top 100 Direct
2025-08-04,174.6198,125497,HDFC Top 100 Direct
2025-07-04,171.893,125497,HDFC Top 100 Direct
2025-04-04,176.8853,125497,HDFC Top 100 Direct
2025-03-04,181.0205,125497,HDFC Top 100 Direct
2025-02-04,180.504,125497,HDFC Top 100 Direct
2025-01-04,178.3073,125497,HDFC Top 100 Direct
2025-12-03,170.9127,125497,HDFC Top 100 Direct
2025-11-03,170.8118,125497,HDFC Top 100 Direct
2025-10-03,171.8878,125497,HDFC Top 100 Direct
2025-07-03,173.6464,125497,HDFC Top 100 Direct
2025-06-03,173.0546,125497,HDFC Top 100 Direct
2025-05-03,170.5378,125497,HDFC Top 100 Direct
2025-04-03,167.4144,125497,HDFC Top 100 Direct
2025-03-03,166.5363,125497,HDFC Top 100 Direct
2025-12-02,178.0673,125497,HDFC Top 100 Direct
2025-11-02,178.8097,125497,HDFC Top 100 Direct
2025-10-02,183.4947,125497,HDFC Top 100 Direct
2025-07-02,186.6001,125497,HDFC Top 100 Direct
2025-06-02,188.2236,125497,HDFC Top 100 Direct
2025-05-02,188.0012,125497,HDFC Top 100 Direct
2025-04-02,187.7402,125497,HDFC Top 100 Direct
2025-03-02,186.5887,125497,HDFC Top 100 Direct
2025-10-01,194.0951,125497,HDFC Top 100 Direct
2025-09-01,197.3978,125497,HDFC Top 100 Direct
2025-08-01,199.1083,125497,HDFC Top 100 Direct
2025-07-01,201.51,125497,HDFC Top 100 Direct
2025-06-01,199.9325,125497,HDFC Top 100 Direct
2025-03-01,204.7473,125497,HDFC Top 100 Direct
2025-02-01,204.958,125497,HDFC Top 100 Direct
2025-01-01,204.0133,125497,HDFC Top 100 Direct
2024-12-12,209.1364,125497,HDFC Top 100 Direct
2024-11-12,210.4887,125497,HDFC Top 100 Direct
2024-10-12,210.1936,125497,HDFC Top 100 Direct
2024-09-12,209.1188,125497,HDFC Top 100 Direct
2024-06-12,207.7793,125497,HDFC Top 100 Direct
2024-05-12,206.9634,125497,HDFC Top 100 Direct
2024-04-12,206.8799,125497,HDFC Top 100 Direct
2024-03-12,205.6142,125497,HDFC Top 100 Direct
2024-02-12,203.0662,125497,HDFC Top 100 Direct
2024-12-11,198.665,125497,HDFC Top 100 Direct
2024-11-11,201.1783,125497,HDFC Top 100 Direct
2024-08-11,202.8558,125497,HDFC Top 100 Direct
2024-07-11,204.9185,125497,HDFC Top 100 Direct
2024-06-11,205.5932,125497,HDFC Top 100 Direct
2024-05-11,203.8845,125497,HDFC Top 100 Direct
2024-04-11,204.1821,125497,HDFC Top 100 Direct
2024-11-10,211.8682,125497,HDFC Top 100 Direct
2024-10-10,211.2075,125497,HDFC Top 100 Direct
2024-09-10,211.4618,125497,HDFC Top 100 Direct
2024-08-10,209.7125,125497,HDFC Top 100 Direct
2024-07-10,205.9307,125497,HDFC Top 100 Direct
2024-04-10,210.645,125497,HDFC Top 100 Direct
2024-03-10,211.1073,125497,HDFC Top 100 Direct
2024-01-10,214.2759,125497,HDFC Top 100 Direct
2024-12-09,211.2842,125497,HDFC Top 100 Direct
2024-11-09,210.1111,125497,HDFC Top 100 Direct
2024-10-09,211.8353,125497,HDFC Top 100 Direct
2024-09-09,208.709,125497,HDFC Top 100 Direct
2024-06-09,209.5018,125497,HDFC Top 100 Direct
2024-05-09,210.0836,125497,HDFC Top 100 Direct
2024-04-09,208.9043,125497,HDFC Top 100 Direct
2024-03-09,209.171,125497,HDFC Top 100 Direct
2024-02-09,208.3113,125497,HDFC Top 100 Direct
2024-12-08,202.1742,125497,HDFC Top 100 Direct
2024-09-08,201.5699,125497,HDFC Top 100 Direct
2024-08-08,201.0925,125497,HDFC Top 100 Direct
2024-07-08,202.0034,125497,HDFC Top 100 Direct
2024-06-08,199.0114,125497,HDFC Top 100 Direct
2024-05-08,199.5619,125497,HDFC Top 100 Direct
2024-02-08,206.2035,125497,HDFC Top 100 Direct
2024-01-08,207.8403,125497,HDFC Top 100 Direct
2024-12-07,204.3766,125497,HDFC Top 100 Direct
2024-11-07,205.3326,125497,HDFC Top 100 Direct
2024-10-07,204.005,125497,HDFC Top 100 Direct
2024-09-07,204.7434,125497,HDFC Top 100 Direct
2024-08-07,203.9505,125497,HDFC Top 100 Direct
2024-05-07,204.8921,125497,HDFC Top 100 Direct
2024-04-07,203.5723,125497,HDFC Top 100 Direct
2024-03-07,202.9049,125497,HDFC Top 100 Direct
2024-02-07,200.5912,125497,HDFC Top 100 Direct
2024-01-07,200.4556,125497,HDFC Top 100 Direct
2024-12-06,195.4415,125497,HDFC Top 100 Direct
2024-11-06,193.7358,125497,HDFC Top 100 Direct
2024-10-06,192.3518,125497,HDFC Top 100 Direct
2024-07-06,189.5698,125497,HDFC Top 100 Direct
2024-06-06,186.5083,125497,HDFC Top 100 Direct
2024-05-06,183.0496,125497,HDFC Top 100 Direct
2024-04-06,178.3591,125497,HDFC Top 100 Direct
2024-03-06,186.9155,125497,HDFC Top 100 Direct
2024-10-05,175.7796,125497,HDFC Top 100 Direct
2024-09-05,174.9782,125497,HDFC Top 100 Direct
2024-08-05,179.0846,125497,HDFC Top 100 Direct
2024-07-05,178.2565,125497,HDFC Top 100 Direct
2024-06-05,179.8196,125497,HDFC Top 100 Direct
2024-03-05,180.5829,125497,HDFC Top 100 Direct
2024-02-05,181.828,125497,HDFC Top 100 Direct
2024-12-04,175.8047,125497,HDFC Top 100 Direct
2024-10-04,176.9202,125497,HDFC Top 100 Direct
2024-09-04,175.3061,125497,HDFC Top 100 Direct
2024-08-04,175.5646,125497,HDFC Top 100 Direct
2024-05-04,175.3538,125497,HDFC Top 100 Direct
2024-04-04,174.6364,125497,HDFC Top 100 Direct
2024-03-04,173.6926,125497,HDFC Top 100 Direct
2024-02-04,172.3272,125497,HDFC Top 100 Direct
2024-01-04,171.3184,125497,HDFC Top 100 Direct
2024-12-03,166.2062,125497,HDFC Top 100 Direct
2024-11-03,168.4794,125497,HDFC Top 100 Direct
2024-07-03,169.9846,125497,HDFC Top 100 Direct
2024-06-03,168.7803,125497,HDFC Top 100 Direct
2024-05-03,171.4449,125497,HDFC Top 100 Direct
2024-04-03,172.0116,125497,HDFC Top 100 Direct
2024-01-03,171.3862,125497,HDFC Top 100 Direct
2024-12-02,165.3607,125497,HDFC Top 100 Direct
2024-09-02,168.0813,125497,HDFC Top 100 Direct
2024-08-02,168.6894,125497,HDFC Top 100 Direct
2024-07-02,168.7067,125497,HDFC Top 100 Direct
2024-06-02,168.0277,125497,HDFC Top 100 Direct
2024-05-02,165.8049,125497,HDFC Top 100 Direct
2024-02-02,166.8172,125497,HDFC Top 100 Direct
2024-01-02,166.5191,125497,HDFC Top 100 Direct
2024-12-01,164.2106,125497,HDFC Top 100 Direct
2024-11-01,163.7165,125497,HDFC Top 100 Direct
2024-10-01,162.7562,125497,HDFC Top 100 Direct
2024-09-01,162.8311,125497,HDFC Top 100 Direct
2024-08-01,162.5916,125497,HDFC Top 100 Direct
2024-05-01,163.7499,125497,HDFC Top 100 Direct
2024-04-01,162.7609,125497,HDFC Top 100 Direct
2024-03-01,162.106,125497,HDFC Top 100 Direct
2024-02-01,162.0646,125497,HDFC Top 100 Direct
2024-01-01,161.4272,125497,HDFC Top 100 Direct
2023-12-12,159.4436,125497,HDFC Top 100 Direct
2023-11-12,159.7954,125497,HDFC Top 100 Direct
2023-08-12,159.5553,125497,HDFC Top 100 Direct
2023-07-12,159.9568,125497,HDFC Top 100 Direct
2023-06-12,159.4849,125497,HDFC Top 100 Direct
2023-05-12,159.5041,125497,HDFC Top 100 Direct
2023-04-12,158.8101,125497,HDFC Top 100 Direct
2023-01-12,157.4176,125497,HDFC Top 100 Direct
2023-10-11,150.5781,125497,HDFC Top 100 Direct
2023-09-11,150.3998,125497,HDFC Top 100 Direct
2023-08-11,150.5331,125497,HDFC Top 100 Direct
2023-07-11,150.0494,125497,HDFC Top 100 Direct
2023-06-11,149.592,125497,HDFC Top 100 Direct
2023-03-11,148.7205,125497,HDFC Top 100 Direct
2023-02-11,147.8192,125497,HDFC Top 100 Direct
2023-01-11,147.1546,125497,HDFC Top 100 Direct
2023-12-10,152.0191,125497,HDFC Top 100 Direct
2023-11-10,151.7229,125497,HDFC Top 100 Direct
2023-10-10,150.8563,125497,HDFC Top 100 Direct
2023-09-10,149.6845,125497,HDFC Top 100 Direct
2023-06-10,151.72,125497,HDFC Top 100 Direct
2023-05-10,151.0584,125497,HDFC Top 100 Direct
2023-04-10,150.848,125497,HDFC Top 100 Direct
2023-03-10,151.7295,125497,HDFC Top 100 Direct
2023-12-09,151.6583,125497,HDFC Top 100 Direct
2023-11-09,154.9908,125497,HDFC Top 100 Direct
2023-08-09,153.8431,125497,HDFC Top 100 Direct
2023-07-09,153.151,125497,HDFC Top 100 Direct
2023-06-09,151.6147,125497,HDFC Top 100 Direct
2023-05-09,151.7655,125497,HDFC Top 100 Direct
2023-04-09,151.5748,125497,HDFC Top 100 Direct
2023-01-09,150.4126,125497,HDFC Top 100 Direct
2023-11-08,145.5881,125497,HDFC Top 100 Direct
2023-10-08,145.4723,125497,HDFC Top 100 Direct
2023-09-08,146.3293,125497,HDFC Top 100 Direct
2023-08-08,145.5002,125497,HDFC Top 100 Direct
2023-07-08,145.7272,125497,HDFC Top 100 Direct
2023-04-08,145.7129,125497,HDFC Top 100 Direct
2023-03-08,145.0795,125497,HDFC Top 100 Direct
2023-02-08,145.4234,125497,HDFC Top 100 Direct
2023-01-08,146.7457,125497,HDFC Top 100 Direct
2023-12-07,140.8036,125497,HDFC Top 100 Direct
2023-11-07,139.9054,125497,HDFC Top 100 Direct
2023-10-07,139.4743,125497,HDFC Top 100 Direct
2023-07-07,139.5112,125497,HDFC Top 100 Direct
2023-06-07,139.6278,125497,HDFC Top 100 Direct
2023-05-07,138.9579,125497,HDFC Top 100 Direct
2023-04-07,138.2876,125497,HDFC Top 100 Direct
2023-03-07,138.6742,125497,HDFC Top 100 Direct
2023-12-06,134.7018,125497,HDFC Top 100 Direct
2023-09-06,134.1118,125497,HDFC Top 100 Direct
2023-08-06,134.5646,125497,HDFC Top 100 Direct
2023-07-06,134.9855,125497,HDFC Top 100 Direct
2023-06-06,133.5734,125497,HDFC Top 100 Direct
2023-05-06,133.1177,125497,HDFC Top 100 Direct
2023-02-06,132.614,125497,HDFC Top 100 Direct
2023-01-06,132.3341,125497,HDFC Top 100 Direct
2023-12-05,130.1433,125497,HDFC Top 100 Direct
2023-11-05,130.2851,125497,HDFC Top 100 Direct
2023-10-05,129.4546,125497,HDFC Top 100 Direct
2023-09-05,128.8274,125497,HDFC Top 100 Direct
2023-08-05,128.9877,125497,HDFC Top 100 Direct
2023-05-05,127.7371,125497,HDFC Top 100 Direct
2023-04-05,128.1846,125497,HDFC Top 100 Direct
2023-03-05,127.493,125497,HDFC Top 100 Direct
2023-02-05,127.3545,125497,HDFC Top 100 Direct
2023-12-04,123.6808,125497,HDFC Top 100 Direct
2023-11-04,123.2215,125497,HDFC Top 100 Direct
2023-10-04,122.9416,125497,HDFC Top 100 Direct
2023-06-04,122.7811,125497,HDFC Top 100 Direct
2023-05-04,122.6212,125497,HDFC Top 100 Direct
2023-03-04,122.1271,125497,HDFC Top 100 Direct
2023-10-03,124.211,125497,HDFC Top 100 Direct
2023-09-03,124.5502,125497,HDFC Top 100 Direct
2023-08-03,124.7469,125497,HDFC Top 100 Direct
2023-06-03,124.8339,125497,HDFC Top 100 Direct
2023-03-03,123.9481,125497,HDFC Top 100 Direct
2023-02-03,123.3993,125497,HDFC Top 100 Direct
2023-01-03,123.665,125497,HDFC Top 100 Direct
2023-10-02,125.1702,125497,HDFC Top 100 Direct
2023-09-02,124.7379,125497,HDFC Top 100 Direct
2023-08-02,125.1117,125497,HDFC Top 100 Direct
2023-07-02,124.4182,125497,HDFC Top 100 Direct
2023-06-02,123.9921,125497,HDFC Top 100 Direct
2023-03-02,124.2907,125497,HDFC Top 100 Direct
2023-02-02,124.0083,125497,HDFC Top 100 Direct
2023-01-02,123.4784,125497,HDFC Top 100 Direct
2023-12-01,126.1964,125497,HDFC Top 100 Direct
2023-11-01,125.908,125497,HDFC Top 100 Direct
2023-10-01,125.8004,125497,HDFC Top 100 Direct
2023-09-01,126.4462,125497,HDFC Top 100 Direct
2023-06-01,125.7185,125497,HDFC Top 100 Direct
2023-05-01,126.7327,125497,HDFC Top 100 Direct
2023-04-01,126.7266,125497,HDFC Top 100 Direct
2023-03-01,127.7046,125497,HDFC Top 100 Direct
2023-02-01,127.8404,125497,HDFC Top 100 Direct
2022-12-12,130.6256,125497,HDFC Top 100 Direct
2022-09-12,130.5903,125497,HDFC Top 100 Direct
2022-08-12,131.3288,125497,HDFC Top 100 Direct
2022-07-12,130.6184,125497,HDFC Top 100 Direct
2022-06-12,130.9286,125497,HDFC Top 100 Direct
2022-05-12,131.0408,125497,HDFC Top 100 Direct
